JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902217.0; 1097722.0; 924170.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
199568.0; 203536.0; 199400.0; 902216.0; 1097720.0; 924168.0
