Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JArraySequence; 11625.0; 13.2; 11600.0; 11660.0; (11620.0, 11630.0)
JLinkedSequence; 6729.4; 13.9; 6661.0; 6744.0; (6724.1, 6734.7)
JVectorSequence; 12087.3; 25.4; 12050.0; 12132.0; (12077.7, 12096.9)
SArraySequence; 9045.5; 18.4; 8985.0; 9074.0; (9038.5, 9052.4)
SLinkedSequence; 2990.5; 27.1; 2847.0; 3001.0; (2980.2, 3000.8)
