Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 37157.0; 85.3; 36877.0; 37295.0; (37124.6, 37189.4)
JLinkedSet; 37069.8; 118.4; 36828.0; 37257.0; (37024.8, 37114.8)
JTreeSet; 32210.0; 255.2; 31403.0; 32658.0; (32113.0, 32306.9)
SHashSet; 33487.4; 245.3; 32508.0; 33741.0; (33394.2, 33580.5)
SLinkedSet; 31013.3; 103.2; 30823.0; 31206.0; (30974.1, 31052.5)
STreeSet; 24018.3; 101.7; 23757.0; 24249.0; (23979.7, 24057.0)
