Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashMap; 35615.7; 231.9; 34967.0; 35990.0; (35527.6, 35703.7)
JLinkedMap; 35258.8; 208.4; 34593.0; 35538.0; (35179.6, 35337.9)
JTreeMap; 28979.9; 272.4; 28359.0; 29474.0; (28876.4, 29083.4)
SHashMap; 25034.2; 182.9; 24789.0; 25318.0; (24964.8, 25103.7)
SLinkedMap; 18201.3; 22.4; 18146.0; 18234.0; (18192.8, 18209.8)
STreeMap; 18123.5; 53.1; 18038.0; 18255.0; (18103.3, 18143.6)
