Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 1227.1; 2.8; 1221; 1231; (1226.0, 1228.1)
JLinkedSet; 2224.7; 11.8; 2202; 2241; (2220.2, 2229.2)
JTreeSet; 1835; 4.2; 1828; 1844; (1833.5, 1836.6)
SHashSet; 2952.9; 14.4; 2930; 2983; (2947.4, 2958.4)
SLinkedSet; 4733.9; 20.1; 4682; 4777; (4726.2, 4741.5)
STreeSet; 2551.6; 10.2; 2529; 2580; (2547.7, 2555.5)
