Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashMap; 38503.73; 218.42; 37470.0; 38695.0; (38420.78, 38586.69)
JLinkedMap; 37806.5; 263.41; 37049.0; 38323.0; (37706.46, 37906.54)
JTreeMap; 31147.83; 144.6; 30783.0; 31440.0; (31092.91, 31202.75)
SHashMap; 31229.6; 78.41; 31111.0; 31430.0; (31199.82, 31259.38)
SLinkedMap; 29724.13; 46.64; 29649.0; 29851.0; (29706.42, 29741.85)
STreeMap; 21255.47; 111.87; 20951.0; 21468.0; (21212.98, 21297.95)
