Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 3614.2; 10.6; 3592; 3633; (3610.2, 3618.3)
JLinkedSet; 3536.3; 7.7; 3519; 3551; (3533.4, 3539.3)
JTreeSet; 2964.9; 5.6; 2956; 2982; (2962.8, 2967.1)
SHashSet; 741.3; 2.7; 731; 744; (740.3, 742.3)
SLinkedSet; 298.3; 1.2; 295; 300; (297.8, 298.7)
STreeSet; 291.5; 0.9; 290; 294; (291.2, 291.9)
