Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 6362.1; 22.6; 6310; 6404; (6353.5, 6370.6)
JLinkedSet; 8008.2; 34.2; 7890; 8051; (7995.2, 8021.1)
JTreeSet; 7684.6; 24.6; 7602; 7716; (7675.2, 7693.9)
SHashSet; 9756.2; 13.8; 9729; 9781; (9750.9, 9761.4)
SLinkedSet; 7528.5; 17.3; 7491; 7570; (7521.9, 7535.1)
STreeSet; 7525.9; 16.4; 7487; 7556; (7519.7, 7532.2)
