Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 35847.1; 138.32; 35344.0; 36072.0; (35794.57, 35899.63)
JLinkedSet; 34579.23; 652.43; 33673.0; 35961.0; (34331.45, 34827.02)
JTreeSet; 29946.73; 248.68; 28938.0; 30403.0; (29852.29, 30041.18)
SHashSet; 33061.77; 76.82; 32924.0; 33255.0; (33032.59, 33090.94)
SLinkedSet; 22529.4; 121.12; 22279.0; 22668.0; (22483.4, 22575.4)
STreeSet; 23691.87; 61.66; 23584.0; 23809.0; (23668.45, 23715.29)
