Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JArraySequence; 39896.1; 61.8; 39645.0; 40003.0; (39872.6, 39919.6)
JLinkedSequence; 11699.7; 20.0; 11646.0; 11735.0; (11692.1, 11707.3)
JVectorSequence; 38916.3; 280.4; 38185.0; 39266.0; (38809.8, 39022.7)
SArraySequence; 30750.4; 96.0; 30591.0; 30954.0; (30713.9, 30786.9)
SLinkedSequence; 11067.4; 30.4; 11005.0; 11104.0; (11055.9, 11078.9)
