Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 5718.63; 14.05; 5681.0; 5741.0; (5713.3, 5723.97)
JLinkedSet; 5513.23; 21.53; 5455.0; 5542.0; (5505.06, 5521.41)
JTreeSet; 4172.03; 8.45; 4149.0; 4189.0; (4168.82, 4175.24)
SHashSet; 8431.3; 26.3; 8357.0; 8470.0; (8421.31, 8441.29)
SLinkedSet; 7065.27; 15.89; 7023.0; 7092.0; (7059.23, 7071.3)
STreeSet; 4496.67; 24.27; 4471.0; 4553.0; (4487.45, 4505.88)
