Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JArraySequence; 5965.33; 9.66; 5945.0; 5980.0; (5961.67, 5969.0)
JLinkedSequence; 4588.2; 4.17; 4578.0; 4595.0; (4586.62, 4589.78)
JVectorSequence; 5925.4; 7.63; 5910.0; 5945.0; (5922.5, 5928.3)
SArraySequence; 993.33; 1.62; 987.0; 995.0; (992.72, 993.95)
SLinkedSequence; 4158.53; 4.91; 4147.0; 4166.0; (4156.67, 4160.4)
