Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashMap; 27036.33; 242.48; 26018.0; 27323.0; (26944.24, 27128.43)
JLinkedMap; 26960.17; 256.03; 25903.0; 27199.0; (26862.93, 27057.4)
JTreeMap; 22036.8; 63.38; 21895.0; 22144.0; (22012.73, 22060.87)
SHashMap; 24757.07; 39.41; 24685.0; 24835.0; (24742.1, 24772.04)
SLinkedMap; 23608.17; 39.33; 23479.0; 23674.0; (23593.23, 23623.11)
STreeMap; 18497.47; 135.08; 18137.0; 18715.0; (18446.17, 18548.77)
