Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 39866.2; 119.39; 39693.0; 40201.0; (39820.86, 39911.54)
JLinkedSet; 39472.9; 112.09; 39059.0; 39639.0; (39430.33, 39515.47)
JTreeSet; 33624.47; 346.25; 31975.0; 33869.0; (33492.96, 33755.97)
SHashSet; 32526.03; 64.09; 32356.0; 32624.0; (32501.69, 32550.37)
SLinkedSet; 31025.1; 67.26; 30914.0; 31138.0; (30999.56, 31050.64)
STreeSet; 18896.33; 87.98; 18715.0; 19043.0; (18862.92, 18929.75)
