Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashMap; 35139.97; 102.99; 34963.0; 35360.0; (35100.85, 35179.08)
JLinkedMap; 35353.37; 88.6; 35045.0; 35497.0; (35319.72, 35387.02)
JTreeMap; 31840.27; 64.83; 31654.0; 31935.0; (31815.64, 31864.89)
SHashMap; 27003.53; 69.19; 26874.0; 27113.0; (26977.25, 27029.81)
SLinkedMap; 23446.73; 22.96; 23400.0; 23490.0; (23438.01, 23455.45)
STreeMap; 21170.07; 102.81; 20940.0; 21346.0; (21131.02, 21209.11)
