Kolekcja; Średnia; Odch. std.; Min.; Maks.; Przedział ufności
JHashSet; 8076.33; 20.96; 8002.0; 8112.0; (8068.37, 8084.29)
JLinkedSet; 8345.57; 16.51; 8319.0; 8385.0; (8339.3, 8351.84)
JTreeSet; 5884.67; 6.44; 5870.0; 5900.0; (5882.22, 5887.11)
SHashSet; 3486.4; 5.91; 3470.0; 3495.0; (3484.15, 3488.65)
SLinkedSet; 2531.0; 4.01; 2524.0; 2541.0; (2529.48, 2532.52)
STreeSet; 2230.63; 5.63; 2216.0; 2242.0; (2228.5, 2232.77)
