JHashMap; JLinkedMap; SHashMap; SLinkedMap
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
37688.0; 38904.0; 69864.0; 37584.0
