JTreeMap; STreeMap
720.0; 656.0
709.0; 656.0
712.0; 656.0
721.0; 661.0
713.0; 677.0
699.0; 662.0
714.0; 654.0
694.0; 651.0
701.0; 659.0
716.0; 660.0
709.0; 663.0
715.0; 664.0
716.0; 658.0
716.0; 655.0
715.0; 659.0
710.0; 669.0
724.0; 674.0
683.0; 659.0
715.0; 661.0
704.0; 659.0
712.0; 666.0
711.0; 663.0
721.0; 658.0
705.0; 663.0
721.0; 655.0
720.0; 670.0
716.0; 667.0
719.0; 664.0
710.0; 659.0
719.0; 668.0
