JTreeMap; STreeMap
656432.0; 735120.0
656432.0; 735208.0
656432.0; 735216.0
656432.0; 735216.0
656432.0; 735216.0
656433.0; 735218.0
656432.0; 735216.0
656432.0; 735216.0
656432.0; 735216.0
656432.0; 735195.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
656432.0; 735120.0
