JHashSet; JLinkedSet; SHashSet; SLinkedSet
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934544.0
239680.0; 283104.0; 678352.0; 934544.0
239680.0; 283104.0; 678352.0; 934544.0
239680.0; 283104.0; 678352.0; 934544.0
239680.0; 283104.0; 678352.0; 934545.0
239680.0; 283104.0; 678352.0; 934544.0
239680.0; 283104.0; 678352.0; 934544.0
239680.0; 283104.0; 678352.0; 934530.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
239680.0; 283104.0; 678352.0; 934528.0
