JTreeSet; STreeSet
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
64064.0; 72144.0
