JTreeSet; STreeSet
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138610.0; 1470574.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470568.0
1138608.0; 1470637.0
1138608.0; 1470648.0
1138608.0; 1470648.0
