JTreeMap; STreeMap
1379; 1113
1369; 1106
1380; 1106
1383; 1105
1370; 1105
1373; 1096
1366; 1101
1351; 1105
1349; 1104
1350; 1110
1348; 1109
1351; 1107
1343; 1111
1351; 1109
1360; 1111
1348; 1103
1349; 1112
1365; 1104
1351; 1106
1348; 1113
1350; 1115
1359; 1106
1359; 1103
1353; 1103
1360; 1104
1356; 1104
1352; 1106
1351; 1104
1369; 1113
1359; 1108
