JHashSet; JLinkedSet; SHashSet; SLinkedSet
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
377264.0; 378984.0; 745088.0; 799904.0
