JArraySequence; JVectorSequence; SArraySequence
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
489200.0; 403608.0; 1361752.0
