JHashSet; JLinkedSet; SHashSet; SLinkedSet
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571594.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
1239552.0; 1400888.0; 1410416.0; 1571592.0
