JTreeMap; STreeMap
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
200880.0; 193736.0
