JTreeSet; STreeSet
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892858.0; 1061697.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
892856.0; 1061696.0
