JHashMap; JLinkedMap; SHashMap; SLinkedMap
2065584.0; 2073592.0; 1970152.0; 2137656.0
2065584.0; 2073592.0; 1970152.0; 2137656.0
2065584.0; 2073592.0; 1970152.0; 2137656.0
2065584.0; 2073592.0; 1970152.0; 2137656.0
2065584.0; 2073592.0; 1970152.0; 2137656.0
2065586.0; 2073594.0; 1970154.0; 2137703.0
2065584.0; 2073592.0; 1970152.0; 2137736.0
2065584.0; 2073592.0; 1970144.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137736.0
2065584.0; 2073592.0; 1970072.0; 2137685.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
2065584.0; 2073592.0; 1970072.0; 2137656.0
