JHashMap; JLinkedMap; SHashMap; SLinkedMap
668736.0; 722072.0; 747736.0; 747520.0
668736.0; 722072.0; 747736.0; 747461.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747441.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
668736.0; 722072.0; 747736.0; 747440.0
