JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
1238.0; 8077.0; 1239.0; 1204.0; 7220.0
1238.0; 8075.0; 1235.0; 1203.0; 7221.0
1237.0; 8069.0; 1239.0; 1204.0; 7223.0
1236.0; 8078.0; 1238.0; 1204.0; 7227.0
1237.0; 8091.0; 1238.0; 1203.0; 7222.0
1238.0; 8079.0; 1228.0; 1205.0; 7229.0
1239.0; 8227.0; 1221.0; 1204.0; 7222.0
1236.0; 8230.0; 1221.0; 1204.0; 7227.0
1227.0; 8236.0; 1229.0; 1209.0; 7234.0
1227.0; 8216.0; 1226.0; 1209.0; 7225.0
1228.0; 8249.0; 1228.0; 1209.0; 7231.0
1227.0; 8240.0; 1227.0; 1210.0; 7219.0
1227.0; 8253.0; 1228.0; 1209.0; 7217.0
1227.0; 8245.0; 1228.0; 1209.0; 7237.0
1227.0; 8251.0; 1228.0; 1208.0; 7223.0
1227.0; 8247.0; 1228.0; 1209.0; 7223.0
1224.0; 8253.0; 1223.0; 1210.0; 7210.0
1227.0; 8250.0; 1228.0; 1210.0; 7233.0
1227.0; 8251.0; 1228.0; 1208.0; 7215.0
1226.0; 8254.0; 1229.0; 1208.0; 7224.0
1226.0; 8254.0; 1228.0; 1209.0; 7218.0
1227.0; 8255.0; 1229.0; 1209.0; 7230.0
1227.0; 8249.0; 1228.0; 1209.0; 7224.0
1226.0; 8251.0; 1228.0; 1209.0; 7230.0
1226.0; 8253.0; 1229.0; 1208.0; 7224.0
1227.0; 8260.0; 1229.0; 1209.0; 7221.0
1227.0; 8258.0; 1228.0; 1209.0; 7219.0
1226.0; 8247.0; 1229.0; 1208.0; 7219.0
1226.0; 8253.0; 1228.0; 1209.0; 7221.0
1226.0; 8258.0; 1228.0; 1208.0; 7212.0
