JTreeSet; STreeSet
10701; 5375
10701; 5374
10718; 5337
10741; 5392
10731; 5384
10734; 5390
10698; 5434
10716; 5437
10707; 5436
10710; 5446
10724; 5433
10731; 5443
10739; 5442
10729; 5439
10726; 5439
10731; 5441
10707; 5445
10742; 5442
10720; 5444
10746; 5439
10655; 5434
10753; 5440
10739; 5434
10738; 5422
10727; 5436
10723; 5446
10738; 5443
10748; 5451
10749; 5431
10739; 5434
