Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (12309, 12317); (12358, 12370); (12317, 12328)
JLinkedSequence; (283098, 284605); (278007, 280144); (279626, 281637)
JVectorSequence; (12236, 12252); (12206, 12219); (12318, 12334)
SArraySequence; (12404, 12422); (12444, 12458); (12468, 12485)
SLinkedSequence; (257830, 260333); (258060, 260653); (266834, 270173)
