Kolekcja; Profile0; Profile1; Profile2
JHashMap; (422854, 430664); (429495, 434746); (440420, 446255)
JLinkedMap; (486382, 491316); (486027, 490301); (474591, 478338)
JTreeMap; (484921, 485950); (478923, 483986); (473159, 477002)
SHashMap; (308461, 309901); (311915, 313536); (283936, 285108)
SLinkedMap; (300466, 301496); (307858, 308858); (279869, 280562)
STreeMap; (302857, 307752); (303066, 307838); (293747, 298522)
