Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (10389, 10396); (10409, 10419); (10428, 10435)
JLinkedSequence; (6159, 6164); (6187, 6192); (6214, 6218)
JVectorSequence; (11026, 11042); (10386, 10405); (10445, 10457)
SArraySequence; (7368, 7377); (6827, 6845); (6843, 6850)
SLinkedSequence; (3332, 3335); (2865, 2868); (2868, 2871)
