Kolekcja; Profile0; Profile1; Profile2
JHashMap; (26944, 27128); (26815, 26974); (26710, 26920)
JLinkedMap; (26862, 27057); (26540, 26698); (26483, 26611)
JTreeMap; (22012, 22060); (22057, 22130); (21792, 21873)
SHashMap; (24742, 24772); (24772, 24860); (24933, 24987)
SLinkedMap; (23593, 23623); (23802, 23873); (23693, 23747)
STreeMap; (18446, 18548); (18461, 18556); (18784, 18875)
