Kolekcja; Profile0; Profile1; Profile2
JHashSet; (1249, 1252); (1226, 1228); (1241, 1244)
JLinkedSet; (2242, 2253); (2220, 2229); (2243, 2254)
JTreeSet; (1867, 1870); (1833, 1836); (1846, 1850)
SHashSet; (2944, 2948); (2947, 2958); (2927, 2940)
SLinkedSet; (4726, 4740); (4726, 4741); (4589, 4609)
STreeSet; (2609, 2626); (2547, 2555); (2545, 2552)
