Kolekcja; Profile0; Profile1; Profile2
JHashSet; (36144, 36542); (35794, 35899); (36402, 36542)
JLinkedSet; (35832, 35927); (34331, 34827); (35030, 35115)
JTreeSet; (30255, 30471); (29852, 30041); (30617, 30975)
SHashSet; (32548, 32581); (33032, 33090); (32738, 32800)
SLinkedSet; (23022, 23223); (22483, 22575); (23226, 23254)
STreeSet; (23534, 23586); (23668, 23715); (23914, 24016)
