Kolekcja; Profile0; Profile1; Profile2
JHashSet; (5892, 5902); (6523, 6566); (6353, 6370)
JLinkedSet; (8050, 8068); (7858, 7874); (7995, 8021)
JTreeSet; (7684, 7716); (7518, 7552); (7675, 7693)
SHashSet; (9470, 9485); (10024, 10045); (9750, 9761)
SLinkedSet; (8249, 8270); (7429, 7440); (7521, 7535)
STreeSet; (7607, 7620); (7703, 7712); (7519, 7532)
