Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (266854, 267743); (265402, 266270); (265922, 267026)
JLinkedSequence; (281010, 283203); (271562, 273379); (276026, 277563)
JVectorSequence; (220659, 221370); (226852, 229262); (229783, 230654)
SArraySequence; (261326, 266092); (277958, 284120); (264187, 268615)
SLinkedSequence; (241741, 244352); (238227, 240758); (236269, 237823)
