Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (420580, 420839); (425043, 425467); (453817, 456269)
JLinkedSequence; (21232, 21285); (21691, 21703); (20701, 20711)
JVectorSequence; (379476, 388028); (388044, 388405); (393023, 393384)
SArraySequence; (32904, 32967); (32809, 32914); (32506, 32587)
SLinkedSequence; (11795, 11811); (12058, 12071); (11657, 11662)
