Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (39872, 39919); (37715, 37769); (39929, 40022)
JLinkedSequence; (11692, 11707); (12066, 12085); (11608, 11621)
JVectorSequence; (38809, 39022); (38908, 39125); (38904, 39142)
SArraySequence; (30713, 30786); (30748, 30805); (30932, 31077)
SLinkedSequence; (11055, 11078); (11322, 11347); (11021, 11035)
