Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (11126, 11133); (10079, 10099); (9741, 9750)
JLinkedSequence; (6083, 6089); (5850, 5857); (5584, 5588)
JVectorSequence; (11719, 11741); (10075, 10087); (9688, 9700)
SArraySequence; (6148, 6155); (6437, 6443); (6225, 6237)
SLinkedSequence; (439, 442); (434, 434); (428, 428)
