Kolekcja; Profile0; Profile1; Profile2
JHashSet; (5713, 5723); (5668, 5690); (5704, 5715)
JLinkedSet; (5505, 5521); (5563, 5576); (5643, 5654)
JTreeSet; (4168, 4175); (4048, 4059); (4259, 4276)
SHashSet; (8421, 8441); (8404, 8436); (8226, 8237)
SLinkedSet; (7059, 7071); (7532, 7551); (7552, 7566)
STreeSet; (4487, 4505); (4531, 4540); (4622, 4631)
