Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (18653, 18662); (18663, 18688); (18652, 18667)
JLinkedSequence; (16991, 17010); (16332, 16350); (16828, 16849)
JVectorSequence; (18675, 18684); (18485, 18501); (18668, 18674)
SArraySequence; (12055, 12073); (12107, 12114); (12093, 12105)
SLinkedSequence; (11391, 11396); (11093, 11104); (11254, 11271)
