Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (11059, 11074); (11587, 11603); (11619, 11630)
JLinkedSequence; (6178, 6183); (6539, 6545); (6724, 6734)
JVectorSequence; (11607, 11639); (12150, 12171); (12077, 12096)
SArraySequence; (8675, 8689); (9073, 9081); (9038, 9052)
SLinkedSequence; (2738, 2741); (2903, 2908); (2980, 3000)
