Kolekcja; Profile0; Profile1; Profile2
JHashMap; (38735, 38858); (38420, 38586); (38644, 38792)
JLinkedMap; (36953, 37076); (37706, 37906); (37863, 37992)
JTreeMap; (31556, 31655); (31092, 31202); (29940, 30040)
SHashMap; (31387, 31485); (31199, 31259); (31104, 31241)
SLinkedMap; (29477, 29519); (29706, 29741); (29689, 29838)
STreeMap; (21594, 21697); (21212, 21297); (21880, 21960)
