Kolekcja; Profile0; Profile1; Profile2
JHashMap; (35375, 35994); (36642, 36802); (36598, 36824)
JLinkedMap; (35685, 36078); (36758, 36954); (36772, 36913)
JTreeMap; (30783, 30892); (29746, 29873); (30189, 30374)
SHashMap; (32466, 32512); (32801, 32938); (32575, 32691)
SLinkedMap; (30020, 30051); (29806, 29861); (30418, 30492)
STreeMap; (23293, 23612); (24097, 24196); (23899, 23984)
