Kolekcja; Profile0; Profile1; Profile2
JHashSet; (37365, 37452); (37124, 37189); (37442, 37541)
JLinkedSet; (36953, 37003); (37024, 37114); (37524, 37606)
JTreeSet; (31218, 31324); (32113, 32306); (32907, 33078)
SHashSet; (33726, 33802); (33394, 33580); (33585, 33627)
SLinkedSet; (30603, 30676); (30974, 31052); (29260, 29390)
STreeSet; (24160, 24215); (23979, 24056); (23730, 23794)
