Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (13246, 13259); (13216, 13226); (13089, 13264)
JLinkedSequence; (16892, 16905); (16625, 16637); (16886, 16894)
JVectorSequence; (13109, 13127); (13136, 13143); (13147, 13155)
SArraySequence; (13182, 13192); (13132, 13144); (13096, 13142)
SLinkedSequence; (16432, 16446); (16265, 16274); (16479, 16490)
