Kolekcja; Profile0; Profile1; Profile2
JHashSet; (3595, 3606); (3610, 3618); (3681, 3691)
JLinkedSet; (3561, 3569); (3533, 3539); (3570, 3576)
JTreeSet; (3056, 3063); (2962, 2967); (3101, 3107)
SHashSet; (720, 724); (740, 742); (743, 743)
SLinkedSet; (280, 280); (297, 298); (300, 301)
STreeSet; (256, 258); (291, 291); (247, 248)
