Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (3789, 3795); (3683, 3688); (3743, 3748)
JLinkedSequence; (5292, 5301); (5169, 5179); (5158, 5166)
JVectorSequence; (3788, 3795); (3698, 3705); (3717, 3723)
SArraySequence; (4096, 4101); (4057, 4061); (4011, 4017)
SLinkedSequence; (5421, 5431); (5451, 5459); (5392, 5398)
