Kolekcja; Profile0; Profile1; Profile2
JArraySequence; (7376, 7387); (7489, 7510); (7716, 7752)
JLinkedSequence; (7720, 7746); (7870, 7886); (7939, 7956)
JVectorSequence; (7699, 7712); (7727, 7759); (7915, 7929)
SArraySequence; (9428, 9450); (9510, 9524); (9721, 9737)
SLinkedSequence; (8577, 8589); (8671, 8686); (8891, 8912)
