Kolekcja; Profile0; Profile1; Profile2
JHashMap; (35531, 35888); (35527, 35703); (35549, 35725)
JLinkedMap; (35842, 36021); (35179, 35337); (35491, 35662)
JTreeMap; (27857, 27972); (28876, 29083); (28991, 29126)
SHashMap; (24089, 24112); (24964, 25103); (25041, 25069)
SLinkedMap; (18258, 18601); (18192, 18209); (17626, 17811)
STreeMap; (18336, 18391); (18103, 18143); (18771, 18840)
