Kolekcja; Profile0; Profile1; Profile2
JHashMap; (435953, 440608); (415375, 418954); (435573, 440457)
JLinkedMap; (466748, 486139); (472805, 476150); (494333, 500743)
JTreeMap; (486261, 487813); (476088, 480312); (470283, 474544)
SHashMap; (298420, 299231); (298891, 299797); (299761, 304125)
SLinkedMap; (298768, 300133); (296945, 297801); (292413, 293356)
STreeMap; (282030, 285936); (296640, 302527); (296202, 301801)
