Kolekcja; Profile0; Profile1; Profile2
JHashSet; (40090, 40171); (39416, 39590); (39820, 39911)
JLinkedSet; (39503, 39550); (39153, 39229); (39430, 39515)
JTreeSet; (34148, 34262); (32773, 32925); (33493, 33756)
SHashSet; (32539, 32591); (32461, 32509); (32501, 32550)
SLinkedSet; (31001, 31041); (31198, 31264); (30999, 31050)
STreeSet; (19563, 19609); (19461, 19509); (18862, 18929)
