Kolekcja; Profile0; Profile1; Profile2
JHashSet; (5267, 5285); (4889, 4901); (5237, 5252)
JLinkedSet; (5301, 5309); (5544, 5559); (5609, 5624)
JTreeSet; (5352, 5369); (5600, 5611); (5442, 5463)
SHashSet; (3300, 3306); (3392, 3396); (3392, 3397)
SLinkedSet; (1871, 1879); (1920, 1922); (1931, 1946)
STreeSet; (2669, 2674); (2514, 2518); (2636, 2638)
