Kolekcja; Profile0; Profile1; Profile2
JHashMap; (26355, 26528); (26341, 26532); (26130, 26226)
JLinkedMap; (26091, 26259); (25589, 26250); (26001, 26138)
JTreeMap; (22360, 22489); (22265, 22352); (22500, 22586)
SHashMap; (24757, 24786); (24864, 24889); (24971, 24999)
SLinkedMap; (23774, 23811); (23801, 23849); (23860, 23908)
STreeMap; (18485, 18580); (18556, 18639); (18143, 18263)
