Operation; JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
Add; (36402, 36542); (35030, 35115); (30617, 30975); (32738, 32800); (23226, 23254); (23914, 24016)
AddAll; (5704, 5715); (5643, 5654); (4259, 4276); (8226, 8237); (7552, 7566); (4622, 4631)
Contains; (37442, 37541); (37525, 37606); (32907, 33078); (33585, 33628); (29260, 29390); (23730, 23794)
Difference; (5237, 5252); (5609, 5624); (5442, 5463); (3392, 3397); (1931, 1946); (2636, 2638)
Remove; (39820, 39911); (39430, 39515); (33493, 33756); (32501, 32550); (30999, 31050); (18862, 18929)
RemoveAll; (6353, 6370); (7995, 8021); (7675, 7693); (9750, 9761); (7521, 7535); (7519, 7532)
ToArray; (1241, 1244); (2244, 2254); (1846, 1850); (2927, 2940); (4589, 4609); (2545, 2552)
Union; (3681, 3691); (3570, 3576); (3101, 3107); (743, 743); (300, 301); (247, 248)
