Operation; JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
AddAll; (7489, 7510); (7870, 7886); (7727, 7759); (9510, 9524); (8671, 8686)
Append; (265402, 266270); (271562, 273379); (226852, 229262); (277958, 284120); (238227, 240758)
Contains; (11587, 11603); (6539, 6545); (12150, 12171); (9073, 9081); (2903, 2908)
Get; (425043, 425467); (21691, 21703); (388044, 388405); (32809, 32914); (12058, 12071)
IndexOf; (10409, 10419); (6187, 6192); (10386, 10405); (6827, 6845); (2866, 2868)
Insert; (13216, 13226); (16625, 16637); (13136, 13143); (13132, 13145); (16265, 16274)
InsertAll; (3683, 3688); (5169, 5179); (3698, 3705); (4057, 4061); (5451, 5459)
LastIndexOf; (10079, 10099); (5850, 5857); (10075, 10087); (6437, 6443); (434, 434)
Prepend; (12358, 12370); (278008, 280144); (12206, 12219); (12444, 12458); (258060, 260653)
Remove; (5961, 5969); (4586, 4589); (5922, 5928); (992, 993); (4156, 4160)
RemoveAt; (18663, 18688); (16332, 16350); (18485, 18502); (12107, 12114); (11094, 11104)
Set; (37715, 37769); (12066, 12085); (38908, 39125); (30748, 30805); (11322, 11347)
