Operation; JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
ContainsKey; (36642, 36802); (36758, 36954); (29746, 29873); (32800, 32938); (29806, 29861); (24097, 24196)
Get; (35527, 35703); (35179, 35337); (28876, 29083); (24964, 25103); (18192, 18209); (18103, 18143)
Keys; (429495, 434746); (486027, 490301); (478923, 483986); (311915, 313536); (307858, 308858); (303066, 307838)
Put; (26341, 26532); (25589, 26250); (22265, 22352); (24864, 24889); (23801, 23849); (18556, 18639)
Remove; (38420, 38586); (37706, 37906); (31092, 31202); (31199, 31259); (29706, 29741); (21212, 21297)
Replace; (26815, 26974); (26540, 26698); (22057, 22130); (24772, 24860); (23802, 23873); (18461, 18556)
Values; (415375, 418954); (472805, 476150); (476088, 480312); (298891, 299797); (296945, 297801); (296640, 302527)
