Operation; JHashSet; JLinkedSet; JTreeSet; SHashSet; SLinkedSet; STreeSet
Add; (36144, 36542); (35832, 35927); (30255, 30471); (32548, 32581); (23022, 23223); (23534, 23586)
AddAll; (5713, 5724); (5505, 5521); (4168, 4175); (8421, 8441); (7059, 7071); (4487, 4505)
Contains; (37365, 37452); (36953, 37003); (31218, 31324); (33726, 33802); (30603, 30676); (24160, 24215)
Difference; (5267, 5285); (5301, 5309); (5352, 5369); (3300, 3306); (1871, 1879); (2669, 2674)
Remove; (40090, 40171); (39503, 39550); (34148, 34262); (32539, 32591); (31001, 31041); (19563, 19609)
RemoveAll; (5892, 5902); (8050, 8068); (7684, 7716); (9470, 9485); (8249, 8270); (7607, 7620)
ToArray; (1249, 1252); (2242, 2253); (1867, 1870); (2944, 2948); (4726, 4741); (2609, 2626)
Union; (3595, 3606); (3561, 3569); (3056, 3063); (720, 724); (280, 280); (256, 258)
