Operation; JHashMap; JLinkedMap; JTreeMap; SHashMap; SLinkedMap; STreeMap
ContainsKey; (35375, 35994); (35685, 36078); (30783, 30892); (32466, 32512); (30020, 30051); (23293, 23612)
Get; (35531, 35888); (35842, 36021); (27857, 27972); (24089, 24112); (18258, 18601); (18336, 18391)
Keys; (422854, 430664); (486382, 491317); (484921, 485951); (308461, 309901); (300466, 301496); (302857, 307752)
Put; (26355, 26528); (26091, 26259); (22360, 22489); (24757, 24786); (23774, 23812); (18485, 18580)
Remove; (38735, 38858); (36953, 37076); (31556, 31655); (31387, 31485); (29477, 29519); (21594, 21697)
Replace; (26944, 27128); (26862, 27057); (22012, 22060); (24742, 24772); (23593, 23623); (18446, 18548)
Values; (435953, 440608); (466748, 486139); (486261, 487813); (298420, 299231); (298768, 300133); (282030, 285936)
