Operation; JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
AddAll; (7716, 7752); (7939, 7956); (7915, 7929); (9721, 9737); (8891, 8912)
Append; (265922, 267026); (276026, 277563); (229783, 230654); (264187, 268615); (236269, 237823)
Contains; (11620, 11630); (6724, 6734); (12077, 12096); (9038, 9052); (2980, 3000)
Get; (453817, 456269); (20701, 20711); (393023, 393384); (32506, 32587); (11657, 11662)
IndexOf; (10428, 10435); (6214, 6219); (10445, 10457); (6844, 6850); (2868, 2871)
Insert; (13089, 13264); (16886, 16894); (13147, 13156); (13096, 13142); (16479, 16490)
InsertAll; (3743, 3748); (5158, 5166); (3717, 3723); (4011, 4017); (5392, 5398)
LastIndexOf; (9741, 9750); (5584, 5588); (9688, 9700); (6225, 6237); (428, 428)
Prepend; (12318, 12328); (279626, 281637); (12318, 12334); (12468, 12485); (266834, 270173)
Remove; (6278, 6285); (5028, 5031); (6373, 6380); (1120, 1123); (4544, 4549)
RemoveAt; (18652, 18667); (16828, 16849); (18668, 18675); (12093, 12105); (11254, 11271)
Set; (39929, 40022); (11608, 11621); (38904, 39143); (30932, 31077); (11021, 11035)
